"","Party","Votes","Year","System"
"1","Con",52942.0736434108,2017,"CV"
"2","Grn",43641.0833333337,2017,"CV"
"3","DUP",41759.4285714284,2017,"CV"
"4","SF",47782.9999999998,2017,"CV"
"5","AP",64552.9999999998,2017,"CV"
"6","SDLP",47709.4999999999,2017,"CV"
"7","UUP",41640,2017,"CV"
"8","Ind131",16148,2017,"CV"
"9","Lab",47423.3837638376,2017,"CV"
"10","LDem",49190.3541666668,2017,"CV"
"11","SNP",46551.2380952381,2017,"CV"
"12","PC",32555.4,2017,"CV"
"13","UKIP",42097.3571428574,2017,"CV"
"14","Oth",29673.4999999999,2017,"CV"
"15","Speaker",34299,2017,"CV"
"16","Con",42818.3542319749,2017,"FPTP"
"17","Lab",49429.7576923077,2017,"FPTP"
"18","LDem",196761.416666667,2017,"FPTP"
"19","SNP",27930.7428571429,2017,"FPTP"
"20","PC",40694.25,2017,"FPTP"
"21","Grn",523693,2017,"FPTP"
"22","Ind",175689,2017,"FPTP"
"23","DUP",29231.6,2017,"FPTP"
"24","SF",34130.7142857143,2017,"FPTP"
"25","Speaker",34299,2017,"FPTP"
"26","UK.Independence.Party",42649.4395604396,2015,"CV"
"27","Conservative",51596.3881278539,2015,"CV"
"28","Green",44524.2307692308,2015,"CV"
"29","Democratic.Unionist.Party",36852,2015,"CV"
"30","Alliance",61556,2015,"CV"
"31","Sinn.Fein",44058,2015,"CV"
"32","Social.Democratic.and.Labour.Party",33269.6666666667,2015,"CV"
"33","Ulster.Unionist.Party",38311.6666666667,2015,"CV"
"34","Ind86",17689,2015,"CV"
"35","Labour",44090.9103773585,2015,"CV"
"36","Plaid.Cymru",36340.8000000001,2015,"CV"
"37","Liberal.Democrat",48318.32,2015,"CV"
"38","Trade.Unionist.and.Socialist.Coalition",34060.9999999999,2015,"CV"
"39","Scottish.National.Party",51944.1428571428,2015,"CV"
"40","Speaker",34617,2015,"CV"
"41","Labour",40289.9698275862,2015,"FPTP"
"42","UK.Independence.Party",3881099,2015,"FPTP"
"43","Conservative",34241.2393939394,2015,"FPTP"
"44","Plaid.Cymru",60568,2015,"FPTP"
"45","Liberal.Democrat",301989.5,2015,"FPTP"
"46","Independent",98481,2015,"FPTP"
"47","Green",1157630,2015,"FPTP"
"48","Scottish.National.Party",25972.0714285714,2015,"FPTP"
"49","Democratic.Unionist.Party",23032.5,2015,"FPTP"
"50","Sinn.Fein",44058,2015,"FPTP"
"51","Social.Democratic.and.Labour.Party",33269.6666666667,2015,"FPTP"
"52","Ulster.Unionist.Party",57467.5,2015,"FPTP"
"53","Speaker",34617,2015,"FPTP"
"54","APNI",42762,2010,"CV"
"55","DUP",33643.2,2010,"CV"
"56","Grn",40801.7142857145,2010,"CV"
"57","SDLP",36990,2010,"CV"
"58","SF",34388.4,2010,"CV"
"59","TUV",26300,2010,"CV"
"60","UCUNF",51180.5,2010,"CV"
"61","Independent76",21181,2010,"CV"
"62","BNP",37621.4,2010,"CV"
"63","Ch.P",18621.9999999999,2010,"CV"
"64","Con",49325.5944700461,2010,"CV"
"65","ED",32412.9999999999,2010,"CV"
"66","Lab",42606.5198019802,2010,"CV"
"67","LD",46823.6164383562,2010,"CV"
"68","PC",33078.8,2010,"CV"
"69","Respect",33251,2010,"CV"
"70","SNP",40948.8333333334,2010,"CV"
"71","Speaker",22860,2010,"CV"
"72","UKIP",39976.9999999999,2010,"CV"
"73","APNI",42762,2010,"FPTP"
"74","Con",34979.2614379085,2010,"FPTP"
"75","DUP",21027,2010,"FPTP"
"76","Grn",285612,2010,"FPTP"
"77","Ind1",175604,2010,"FPTP"
"78","Lab",33358.5930232558,2010,"FPTP"
"79","LD",119934.175438596,2010,"FPTP"
"80","PC",55131.3333333333,2010,"FPTP"
"81","SDLP",36990,2010,"FPTP"
"82","SF",34388.4,2010,"FPTP"
"83","SNP",81897.6666666667,2010,"FPTP"
"84","Speaker",22860,2010,"FPTP"
"85","Con",46887.6577540107,2005,"CV"
"86","DUP",40309.3333333333,2005,"CV"
"87","UU",31580.75,2005,"CV"
"88","APNI",28291,2005,"CV"
"89","SDLP",41875.3333333333,2005,"CV"
"90","SF",43632.5,2005,"CV"
"91","LD",43831.9117647059,2005,"CV"
"92","Lab",38392.2620967742,2005,"CV"
"93","PC",29139.6666666666,2005,"CV"
"94","Ver",40606.9999999999,2005,"CV"
"95","Grn",31575.7777777779,2005,"CV"
"96","SNP",37478.8181818182,2005,"CV"
"97","SSP",43514,2005,"CV"
"98","UKIP",33545.2777777778,2005,"CV"
"99","BNP",32124.1666666667,2005,"CV"
"100","Lib",19067.9999999999,2005,"CV"
"101","Resp",34046.9999999999,2005,"CV"
"102","Speaker",15153,2005,"CV"
"103","Ind1",20505,2005,"CV"
"104","Con",44507.5736040609,2005,"FPTP"
"105","LD",94621.2698412698,2005,"FPTP"
"106","Lab",26820.5098591549,2005,"FPTP"
"107","PC",58279.3333333333,2005,"FPTP"
"108","SNP",68711.1666666667,2005,"FPTP"
"109","Ind",118560,2005,"FPTP"
"110","DUP",26872.8888888889,2005,"FPTP"
"111","UU",126323,2005,"FPTP"
"112","SDLP",41875.3333333333,2005,"FPTP"
"113","SF",34906,2005,"FPTP"
"114","Resp",68094,2005,"FPTP"
"115","Speaker",15153,2005,"FPTP"
"116","KHHC",18739,2005,"FPTP"
"117","Alliance",28999,2001,"CV"
"118","Conservative",44447.3138297872,2001,"CV"
"119","Democratic.Unionist",36399.8,2001,"CV"
"120","Sinn.Fein",43983.0000000001,2001,"CV"
"121","Social.Democratic.and.Labour",56621.6666666667,2001,"CV"
"122","Ulster.Unionist",43367.8,2001,"CV"
"123","British.National",23597.5,2001,"CV"
"124","Green",33295.4,2001,"CV"
"125","Kidderminster.Hospital.and.Health.Concern",28487,2001,"CV"
"126","Labour",36866.2199312715,2001,"CV"
"127","Liberal.Democrat",42578.7079646018,2001,"CV"
"128","Plaid.Cymru",32648.6666666667,2001,"CV"
"129","Scottish.National",30953,2001,"CV"
"130","Scottish.Socialist",24169.3333333334,2001,"CV"
"131","Socialist.Alliance",29978,2001,"CV"
"132","Socialist.Labour",28643.9999999999,2001,"CV"
"133","The.Speaker",16053,2001,"CV"
"134","United.Kingdom.Independence",32514.5833333334,2001,"CV"
"135","Conservative",50337.921686747,2001,"FPTP"
"136","Democratic.Unionist",36399.8,2001,"FPTP"
"137","Kidderminster.Hospital.and.Health.Concern",28487,2001,"FPTP"
"138","Labour",26039.0048543689,2001,"FPTP"
"139","Liberal.Democrat",92526.8076923077,2001,"FPTP"
"140","Plaid.Cymru",48973,2001,"FPTP"
"141","Scottish.National",92859,2001,"FPTP"
"142","Sinn.Fein",43983,2001,"FPTP"
"143","Social.Democratic.and.Labour",56621.6666666667,2001,"FPTP"
"144","The.Speaker",16053,2001,"FPTP"
"145","Ulster.Unionist",36139.8333333333,2001,"FPTP"
"146","Alliance",31486,1997,"CV"
"147","Conservative",51896.9891891891,1997,"CV"
"148","Democratic.Unionist",35782.6666666667,1997,"CV"
"149","Green",31995.5,1997,"CV"
"150","Natural.Law",30604,1997,"CV"
"151","Sinn.Fein",42307,1997,"CV"
"152","Social.Democratic.and.Labour",47703.5,1997,"CV"
"153","Ulster.Unionist",43058.1666666667,1997,"CV"
"154","British.National",35832,1997,"CV"
"155","Labour",45211.2608695652,1997,"CV"
"156","Liberal",45165.9999999999,1997,"CV"
"157","Liberal.Democrat",50902.3980582525,1997,"CV"
"158","People.s.Labour",19331.9999999999,1997,"CV"
"159","Plaid.Cymru",40257.5,1997,"CV"
"160","Referendum",35297.7826086955,1997,"CV"
"161","Scottish.National",41436.6666666667,1997,"CV"
"162","Socialist.Labour",52109,1997,"CV"
"163","The.Speaker",23969,1997,"CV"
"164","United.Kingdom.Independence",35240.6666666668,1997,"CV"
"165","Ind127",29354,1997,"CV"
"166","Conservative",58187.5333333333,1997,"FPTP"
"167","Democratic.Unionist",53674,1997,"FPTP"
"168","Independent",120552,1997,"FPTP"
"169","Labour",32340.1124401914,1997,"FPTP"
"170","Liberal.Democrat",113977.108695652,1997,"FPTP"
"171","Plaid.Cymru",40257.5,1997,"FPTP"
"172","Scottish.National",103591.666666667,1997,"FPTP"
"173","Sinn.Fein",63460.5,1997,"FPTP"
"174","Social.Democratic.and.Labour",63604.6666666667,1997,"FPTP"
"175","The.Speaker",23969,1997,"FPTP"
"176","Ulster.Unionist",25834.9,1997,"FPTP"
"177","United.Kingdom.Unionist",12817,1997,"FPTP"
"178","Conservative",58235.5661157025,1992,"CV"
"179","Natural.Law",31283.5000000001,1992,"CV"
"180","Ulster.Unionist",45174.8333333333,1992,"CV"
"181","Democratic.Unionist",34346.3333333333,1992,"CV"
"182","Alliance",34332.5,1992,"CV"
"183","Social.Democratic.and.Labour",61481.6666666667,1992,"CV"
"184","Sinn.Fein",39145.5,1992,"CV"
"185","Labour",47094.8285714285,1992,"CV"
"186","Liberal.Democrat",50934.8305084744,1992,"CV"
"187","Plaid.Cymru",37508,1992,"CV"
"188","Scottish.National",41970.9333333333,1992,"CV"
"189","Liberal",32371.9999999999,1992,"CV"
"190","Green",34114.1999999999,1992,"CV"
"191","Independent.Labour",33461,1992,"CV"
"192","Speaker",22251,1992,"CV"
"193","Labour",42734.1962962963,1992,"FPTP"
"194","Conservative",41943.4732142857,1992,"FPTP"
"195","Liberal.Democrat",300515.5,1992,"FPTP"
"196","Plaid.Cymru",37508,1992,"FPTP"
"197","Scottish.National",209854.666666667,1992,"FPTP"
"198","Ulster.Unionist",30116.5555555556,1992,"FPTP"
"199","Democratic.Unionist",34346.3333333333,1992,"FPTP"
"200","Social.Democratic.and.Labour",46111.25,1992,"FPTP"
"201","Ulster.Popular.Unionist",19305,1992,"FPTP"
"202","Speaker",22251,1992,"FPTP"
"203","Ulster.Unionist",39461.4285714286,1987,"CV"
"204","Alliance",36335.5,1987,"CV"
"205","The.Workers...NI.",19294,1987,"CV"
"206","Democratic.Unionist",42821,1987,"CV"
"207","Social.Democratic.and.Labour",51362.3333333333,1987,"CV"
"208","Sinn.Fein",83389,1987,"CV"
"209","Ulster.Popular.Unionist",18420,1987,"CV"
"210","Labour",46113.0967741935,1987,"CV"
"211","Liberal",50535.8072289156,1987,"CV"
"212","Conservative",54947.12,1987,"CV"
"213","Plaid.Cymru",41199.6666666667,1987,"CV"
"214","Social.Democratic",48417.7384615385,1987,"CV"
"215","Scottish.National",41687.3,1987,"CV"
"216","Green",29917.6666666666,1987,"CV"
"217","Independent.Labour",26176,1987,"CV"
"218","Speaker",24188,1987,"CV"
"219","Labour",43888.3421052632,1987,"FPTP"
"220","Liberal",246733.647058824,1987,"FPTP"
"221","Conservative",36631.4133333333,1987,"FPTP"
"222","Plaid.Cymru",41199.6666666667,1987,"FPTP"
"223","Social.Democratic",629430.6,1987,"FPTP"
"224","Scottish.National",138957.666666667,1987,"FPTP"
"225","Ulster.Unionist",30692.2222222222,1987,"FPTP"
"226","Democratic.Unionist",28547.3333333333,1987,"FPTP"
"227","Social.Democratic.and.Labour",51362.3333333333,1987,"FPTP"
"228","Sinn.Fein",83389,1987,"FPTP"
"229","Independent.Labour",26176,1987,"FPTP"
"230","Ulster.Popular.Unionist",18420,1987,"FPTP"
"231","Speaker",24188,1987,"FPTP"
"232","Ecology",26621.5,1983,"CV"
"233","Official.Unionist.Party",52141.2,1983,"CV"
"234","Ulster.Popular.Unionist",22861,1983,"CV"
"235","Democratic.Unionist.Party",38187.25,1983,"CV"
"236","Alliance",26130,1983,"CV"
"237","SDLP",45670.6666666667,1983,"CV"
"238","Sinn.Fein",51350.5,1983,"CV"
"239","Labour",44451.7894736842,1983,"CV"
"240","Alliance..Lib.",46674.6483516484,1983,"CV"
"241","Conservative",50641.1367187499,1983,"CV"
"242","Plaid.Cymru",41501.6666666667,1983,"CV"
"243","Alliance..SDP.",44939.4102564103,1983,"CV"
"244","SNP",36462.1111111111,1983,"CV"
"245","BNP",14287,1983,"CV"
"246","National.Front",27053,1983,"CV"
"247","Ind.Labour",16447,1983,"CV"
"248","Speaker",22292,1983,"CV"
"249","Labour",40410.7177033493,1983,"FPTP"
"250","Alliance..Lib.",235966.277777778,1983,"FPTP"
"251","Conservative",32820.5848101266,1983,"FPTP"
"252","Plaid.Cymru",62252.5,1983,"FPTP"
"253","Alliance..SDP.",584212.333333333,1983,"FPTP"
"254","SNP",164079.5,1983,"FPTP"
"255","Official.Unionist.Party",23700.5454545455,1983,"FPTP"
"256","Ulster.Popular.Unionist",22861,1983,"FPTP"
"257","Democratic.Unionist.Party",50916.3333333333,1983,"FPTP"
"258","SDLP",137012,1983,"FPTP"
"259","Sinn.Fein",102701,1983,"FPTP"
"260","Speaker",22292,1983,"FPTP"
"261","Democratic.Unionist",70975.0000000002,1979,"CV"
"262","Official.Unionist",63644.5000000003,1979,"CV"
"263","Alliance",82892.0000000002,1979,"CV"
"264","SDLP",45670.0000000002,1979,"CV"
"265","Republican.Clubs",12100.0000000001,1979,"CV"
"266","Ulster.Unionist",36989.0000000003,1979,"CV"
"267","United.Ulster.Unionist",39856.0000000001,1979,"CV"
"268","Labour",47344.7037037037,1979,"CV"
"269","Conservative",55912.4204081632,1979,"CV"
"270","Liberal",41451.8846153847,1979,"CV"
"271","Plaid.Cymru",33111,1979,"CV"
"272","SNP",33617.2666666667,1979,"CV"
"273","National.Front",24963.375,1979,"CV"
"274","Ecology",19959.0000000001,1979,"CV"
"275","WRP",13531,1979,"CV"
"276","Speaker",27035,1979,"CV"
"277","Labour",42928.2201492537,1979,"FPTP"
"278","Conservative",40408.6814159292,1979,"FPTP"
"279","Liberal",391908.727272727,1979,"FPTP"
"280","Plaid.Cymru",66222,1979,"FPTP"
"281","SNP",252129.5,1979,"FPTP"
"282","Democratic.Unionist",23658.3333333333,1979,"FPTP"
"283","Official.Unionist",50915.6,1979,"FPTP"
"284","SDLP",137010,1979,"FPTP"
"285","Ind.",32047,1979,"FPTP"
"286","Speaker",27035,1979,"FPTP"
"287","Ulster.Unionist",36989,1979,"FPTP"
"288","United.Ulster.Unionist",39856,1979,"FPTP"
